Date,Open,High,Low,Close,Adj Close,Volume
2005-06-06,58.625000,58.709999,58.400002,58.674999,41.826931,180000
2005-06-07,58.825001,59.244999,58.700001,58.715000,41.855453,305200
2005-06-08,58.875000,58.904999,58.465000,58.580002,41.759201,233200
2005-06-09,58.450001,58.900002,58.375000,58.884998,41.976616,186400
2005-06-10,58.950001,58.974998,58.525002,58.810001,41.923176,285200
2005-06-13,58.790001,59.185001,58.665001,58.945000,42.019398,200600
2005-06-14,58.924999,59.285000,58.889999,59.145000,42.161961,135000
2005-06-15,59.349998,59.360001,58.869999,59.224998,42.218994,177800
2005-06-16,59.200001,59.540001,59.200001,59.500000,42.415051,156800
2005-06-17,59.875000,59.915001,59.615002,59.755001,42.596817,139600
2005-06-20,59.575001,59.875000,59.500000,59.750000,42.593243,278800
2005-06-21,59.775002,59.790001,59.549999,59.634998,42.511269,206200
2005-06-22,59.875000,59.939999,59.535000,59.750000,42.593243,146000
2005-06-23,59.750000,59.779999,59.025002,59.025002,42.076435,185200
2005-06-24,59.025002,59.025002,58.450001,58.525002,41.720001,412200
2005-06-27,58.450001,58.650002,58.255001,58.380001,41.760418,378400
2005-06-28,58.595001,59.000000,58.275002,58.974998,42.186005,143400
2005-06-29,59.075001,59.090000,58.834999,58.875000,42.114494,235200
2005-06-30,59.014999,59.110001,58.529999,58.584999,41.907051,243400
2005-07-01,58.700001,58.860001,58.625000,58.799999,42.060841,101400
2005-07-05,58.724998,59.349998,58.665001,59.310001,42.425648,225000
2005-07-06,59.264999,59.349998,58.855000,58.855000,42.100185,130600
2005-07-07,58.250000,59.055000,58.250000,59.025002,42.221802,287000
2005-07-08,59.049999,59.799999,59.014999,59.750000,42.740391,767400
2005-07-11,59.750000,60.174999,59.750000,60.174999,43.044415,186400
2005-07-12,60.189999,60.435001,59.980000,60.275002,43.115948,191600
2005-07-13,60.334999,60.380001,60.139999,60.349998,43.169579,97800
2005-07-14,60.625000,60.799999,60.285000,60.410000,43.212509,206800
2005-07-15,60.435001,60.535000,60.185001,60.459999,43.248283,188200
2005-07-18,60.365002,60.365002,60.125000,60.209999,43.069450,162200
2005-07-19,60.174999,60.630001,60.174999,60.605000,43.351982,234400
2005-07-20,60.485001,60.970001,60.299999,60.799999,43.491486,165800
2005-07-21,60.840000,60.900002,60.345001,60.430000,43.226822,246000
2005-07-22,60.500000,60.849998,60.450001,60.840000,43.520103,179000
2005-07-25,61.000000,61.025002,60.549999,60.689999,43.412804,174000
2005-07-26,60.724998,60.849998,60.625000,60.764999,43.466450,167000
2005-07-27,60.799999,61.005001,60.605000,61.005001,43.638145,552200
2005-07-28,61.125000,61.435001,61.000000,61.424999,43.938568,137400
2005-07-29,61.410000,61.439999,60.990002,61.150002,43.741840,464200
2005-08-01,61.174999,61.244999,60.985001,61.064999,43.681042,148800
